classe,atributo,tipo
adm_area_pub_civil,geometriaaproximada,smallint
adm_area_pub_militar,geometriaaproximada,smallint
adm_descontinuidade_geometrica,geometriaaproximada,smallint
adm_descontinuidade_geometrica,motivodescontinuidade,smallint
adm_edif_pub_civil,geometriaaproximada,smallint
adm_edif_pub_civil,matconstr,smallint
adm_edif_pub_civil,nome,character varying
adm_edif_pub_civil,nomeabrev,character varying
adm_edif_pub_civil,operacional,smallint
adm_edif_pub_civil,situacaofisica,smallint
adm_edif_pub_civil,tipoedifcivil,smallint
adm_edif_pub_civil,tipousoedif,smallint
adm_edif_pub_militar,geometriaaproximada,smallint
adm_edif_pub_militar,matconstr,smallint
adm_edif_pub_militar,nome,character varying
adm_edif_pub_militar,nomeabrev,character varying
adm_edif_pub_militar,operacional,smallint
adm_edif_pub_militar,situacaofisica,smallint
adm_edif_pub_militar,tipoedifmil,smallint
adm_edif_pub_militar,tipousoedif,smallint
adm_posto_fiscal,geometriaaproximada,smallint
adm_posto_fiscal,nome,character varying
adm_posto_fiscal,nomeabrev,character varying
adm_posto_fiscal,operacional,smallint
adm_posto_fiscal,situacaofisica,smallint
adm_posto_fiscal,tipopostofisc,smallint
adm_posto_pol_rod,geometriaaproximada,smallint
adm_posto_pol_rod,nome,character varying
adm_posto_pol_rod,nomeabrev,character varying
adm_posto_pol_rod,operacional,smallint
adm_posto_pol_rod,situacaofisica,smallint
adm_posto_pol_rod,tipopostopol,smallint
asb_area_abast_agua,geometriaaproximada,smallint
asb_area_saneamento,geometriaaproximada,smallint
asb_cemiterio,denominacaoassociada,smallint
asb_cemiterio,geometriaaproximada,smallint
asb_cemiterio,nome,character varying
asb_cemiterio,nomeabrev,character varying
asb_cemiterio,tipocemiterio,smallint
asb_dep_abast_agua,construcao,smallint
asb_dep_abast_agua,finalidade,smallint
asb_dep_abast_agua,geometriaaproximada,smallint
asb_dep_abast_agua,matconstr,smallint
asb_dep_abast_agua,nome,character varying
asb_dep_abast_agua,nomeabrev,character varying
asb_dep_abast_agua,operacional,smallint
asb_dep_abast_agua,situacaoagua,smallint
asb_dep_abast_agua,situacaofisica,smallint
asb_dep_abast_agua,tipodepabast,smallint
asb_dep_saneamento,construcao,smallint
asb_dep_saneamento,finalidade,smallint
asb_dep_saneamento,geometriaaproximada,smallint
asb_dep_saneamento,matconstr,smallint
asb_dep_saneamento,nome,character varying
asb_dep_saneamento,nomeabrev,character varying
asb_dep_saneamento,operacional,smallint
asb_dep_saneamento,residuo,smallint
asb_dep_saneamento,situacaofisica,smallint
asb_dep_saneamento,tipodepsaneam,smallint
asb_dep_saneamento,tiporesiduo,smallint
asb_descontinuidade_geometrica,geometriaaproximada,smallint
asb_descontinuidade_geometrica,motivodescontinuidade,smallint
asb_edif_abast_agua,geometriaaproximada,smallint
asb_edif_abast_agua,matconstr,smallint
asb_edif_abast_agua,nome,character varying
asb_edif_abast_agua,nomeabrev,character varying
asb_edif_abast_agua,operacional,smallint
asb_edif_abast_agua,situacaofisica,smallint
asb_edif_abast_agua,tipoedifabast,smallint
asb_edif_saneamento,geometriaaproximada,smallint
asb_edif_saneamento,matconstr,smallint
asb_edif_saneamento,nome,character varying
asb_edif_saneamento,nomeabrev,character varying
asb_edif_saneamento,operacional,smallint
asb_edif_saneamento,situacaofisica,smallint
asb_edif_saneamento,tipoedifsaneam,smallint
aux_moldura,anoaquisicao,character varying
aux_moldura,datafimaquisicao,date
aux_moldura,datafimedicao1,date
aux_moldura,datafimedicao2,date
aux_moldura,datafimreambulacao,date
aux_moldura,datafimrevaquisicao,date
aux_moldura,datafimrevedicao1,date
aux_moldura,datafimvalidacao,date
aux_moldura,datainicioaquisicao,date
aux_moldura,datainicioedicao1,date
aux_moldura,datainicioedicao2,date
aux_moldura,datainicioreambulacao,date
aux_moldura,datainiciorevaquisicao,date
aux_moldura,datainiciorevedicao1,date
aux_moldura,datainiciovalidacao,date
aux_moldura,engrespaquisicao,character varying
aux_moldura,engrespreambulacao,character varying
aux_moldura,engresprevisaoaquisicao,character varying
aux_moldura,engrespvalidacaoedicao,character varying
