classe,atributo,tipo
Objeto_Desconhecido,descricao,string
Bacia_Hidrografica,codigoOtto,integer
Bacia_Hidrografica,nivelOtto,integer
Trecho_Drenagem,regime,integer
Trecho_Drenagem,coincideComDentroDe,integer
Trecho_Drenagem,dentroDePoligono,integer
Trecho_Drenagem,compartilhado,integer
Trecho_Drenagem,navegabilidade,integer
Trecho_Drenagem,caladoMax,real
Trecho_Drenagem,larguraMedia,real
Trecho_Drenagem,velocidadeMedCorrente,real
Trecho_Drenagem,profundidadeMedia,real
Trecho_Drenagem,eixoPrincipal,integer
Massa_Dagua,tipoMassaDagua,integer
Massa_Dagua,regime,integer
Massa_Dagua,salinidade,integer
Limite_Massa_Dagua,tipoLimMassa,integer
Limite_Massa_Dagua,materialPredominante,integer
Limite_Massa_Dagua,alturaMediaMargem,real
Ponto_Drenagem,relacionado,integer
Barragem,operacional,integer
Barragem,situacaoFisica,integer
Barragem,matConstr,integer
Barragem,usoPrincipal,integer
Comporta,operacional,integer
Comporta,situacaoFisica,integer
Sumidouro_Vertedouro,tipoSumVert,integer
Sumidouro_Vertedouro,causa,integer
Queda_Dagua,tipoQueda,integer
Queda_Dagua,altura,real
Fonte_Dagua,regime,integer
Fonte_Dagua,tipoFonteDagua,integer
Fonte_Dagua,qualidAgua,integer
Ponto_Inicio_Drenagem,nascente,integer
Confluencia,relacionado,integer
Natureza_Fundo,materialPredominante,integer
Natureza_Fundo,espessAlgas,integer
Rocha_Em_Agua,situacaoEmAgua,integer
Rocha_Em_Agua,alturaLamina,real
Recife,tipoRecife,integer
Recife,situaMare,integer
Recife,situacaoCosta,integer
Banco_Areia,materialPredominante,integer
Banco_Areia,situacaoEmAgua,integer
Banco_Areia,tipoBanco,integer
Quebramar_Molhe,operacional,integer
Quebramar_Molhe,situacaoFisica,integer
Quebramar_Molhe,matConstr,integer
Quebramar_Molhe,situaMare,integer
Quebramar_Molhe,tipoQuebramarMolhe,integer
Terreno_Suj_Inundacao,periodicidadeInunda,string
Area_Umida,tipoAreaUmida,integer
Reservatorio_Hidrico,usoPrincipal,integer
Reservatorio_Hidrico,volumeUtil,integer
Reservatorio_Hidrico,naMaximoMaximorum,integer
Reservatorio_Hidrico,naMaximoOperacional,integer
Campo,tipoCampo,integer
Campo,ocorrenciaEm,integer
Veg_Cultivada,tipoLavoura,integer
Veg_Cultivada,finalidade,integer
Veg_Cultivada,terreno,integer
Veg_Cultivada,espacamentoIndividuos,real
Veg_Cultivada,espessuraDAP,real
Veg_Cultivada,cultivoPredominante,integer
Brejo_Pantano,tipoBrejoPantano,integer
Floresta,caracteristicaFloresta,integer
Floresta,especiePredominante,integer
Macega_Chavascal,tipoMacChav,integer
Cerrado_Cerradao,tipoCerr,integer
Curva_Nivel,cota,integer
Curva_Nivel,depressao,integer
Curva_Nivel,indice,integer
Curva_Nivel,emMassaDagua,integer
Curva_Batimetrica,profundidade,integer
Ponto_Cotado_Altimetrico,cota,integer
Ponto_Cotado_Altimetrico,cotaComprovada,integer
Ponto_Cotado_Batimetrico,profundidade,integer
Elemento_Fisiog_Natural,tipoElemNat,integer
Alter_Fisiog_Antropica,tipoAlterAntrop,integer
Terreno_Exposto,causaExposicao,integer
Terreno_Exposto,tipoTerrExp,integer
Duna,fixa,integer
Veg_Area_Contato,antropizada,integer
Funicular,operacional,integer
Funicular,situacaoFisica,integer
Caminho_Aereo,tipoCaminhoAereo,integer
Caminho_Aereo,tipoUsoCaminhoAer,integer
Patio,administracao,integer
Patio,operacional,integer
Patio,situacaoFisica,integer
Patio,modalUso,integer
Faixa_Seguranca,largura,real
Faixa_Seguranca,extensao,real
Travessia,tipoTravessia,integer
Entroncamento,tipoEntroncamento,integer
Galeria_Bueiro,pesoMaxSuportTon,real
Travessia_Pedestre,largura,real
Travessia_Pedestre,extensao,real
Travessia_Pedestre,tipoTravessiaPed,integer
Tunel,altura,real
Tunel,modalUso,integer
Tunel,largura,real
Tunel,nrPistas,integer
Tunel,nrFaixas,integer
Tunel,posicaoPista,integer
Tunel,extensao,real
Tunel,tipoTunel,integer
Edif_Rodoviaria,administracao,integer
Edif_Rodoviaria,tipoEdifRod,integer
Posto_Combustivel,administracao,integer
Trecho_Rodoviario,codTrechoRodov,string
Trecho_Rodoviario,sigla,string
Trecho_Rodoviario,nome,string
Trecho_Rodoviario,tipoTrechoRod,integer
Trecho_Rodoviario,jurisdicao,integer
Trecho_Rodoviario,administracao,integer
Trecho_Rodoviario,concessionaria,string
Trecho_Rodoviario,revestimento,integer
Trecho_Rodoviario,nrFaixas,integer
Trecho_Rodoviario,nrPistas,integer
Trecho_Rodoviario,trafego,integer
Trecho_Rodoviario,canteiroDivisorio,integer
Trecho_Rodoviario,pesoMaxSuportTon,real
Trecho_Rodoviario,velocidadeMedia,integer
Identific_Trecho_Rod,sigla,string
Identific_Trecho_Rod,codTrechoRodov,string
Ciclovia,administracao,integer
Ciclovia,revestimento,integer
Ciclovia,trafego,integer
Arruamento,revestimento,integer
Arruamento,nrFaixas,integer
Arruamento,trafego,integer
Arruamento,canteiroDivisorio,integer
Ponto_Rodoviario_Ferrov,relacionado,integer
Ponto_Rodoviario_Ferrov,modalUso,integer
Edif_Metro_Ferroviaria,administracao,integer
Edif_Metro_Ferroviaria,funcaoEdifMetroFerrov,integer
Edif_Metro_Ferroviaria,multimodal,integer
Girador_Ferroviario,administracao,integer
Girador_Ferroviario,operacional,integer
Girador_Ferroviario,situacaoFisica,integer
Trecho_Ferroviario,jurisdicao,integer
Trecho_Ferroviario,administracao,integer
Trecho_Ferroviario,concessionaria,string
Trecho_Ferroviario,pesoMaxSuportTon,real
Trecho_Ferroviario,bitola,integer
Trecho_Ferroviario,eletrificada,integer
Trecho_Ferroviario,nrLinhas,integer
Trecho_Ferroviario,emArruamento,integer
Trecho_Ferroviario,posicaoRelativa,integer
Trecho_Ferroviario,codTrechoFerrov,integer
Trecho_Ferroviario,tipoTrechoFerrov,integer
Cremalheira,situacaoFisica,integer
Cremalheira,operacional,integer
Obstaculo_Navegacao,situacaoEmAgua,integer
Obstaculo_Navegacao,tipoObst,integer
Trecho_Hidroviario,regime,integer
Trecho_Hidroviario,extensaoTrecho,real
Trecho_Hidroviario,caladoMaxSeca,real
Sinalizacao,operacional,integer
Sinalizacao,situacaoFisica,integer
Sinalizacao,tipoSinal,integer
Eclusa,largura,real
Eclusa,extensao,real
Eclusa,desnivel,real
Eclusa,calado,real
Ponto_Hidroviario,relacionado,integer
Atracadouro,administracao,integer
Atracadouro,tipoAtracad,integer
Fundeadouro,administracao,integer
Fundeadouro,destinacaoFundeadouro,integer
Edif_Const_Aeroportuaria,administracao,integer
Edif_Const_Aeroportuaria,tipoEdifAero,integer
Pista_Ponto_Pouso,revestimento,integer
Pista_Ponto_Pouso,operacional,integer
Pista_Ponto_Pouso,situacaoFisica,integer
Pista_Ponto_Pouso,largura,real
Pista_Ponto_Pouso,extensao,real
Pista_Ponto_Pouso,tipoPista,integer
Pista_Ponto_Pouso,usoPista,integer
Pista_Ponto_Pouso,homologacao,integer
Trecho_Duto,matConstr,integer
Trecho_Duto,tipoTrechoDuto,integer
Trecho_Duto,setor,integer
Trecho_Duto,posicaoRelativa,integer
Trecho_Duto,nrDutos,integer
Trecho_Duto,situacaoEspacial,integer
Trecho_Duto,matTransp,integer
Ponto_Duto,relacionado,integer
Local_Critico,tipoLocalCrit,integer
Edif_Energia,tipoEdifEnergia,integer
Torre_Energia,tipoTorre,integer
Torre_Energia,arranjoFases,string
Torre_Comunic,posicaoRelEdific,integer
Trecho_Energia,especie,integer
Trecho_Energia,tensaoEletrica,real
Trecho_Energia,numCircuitos,integer
Trecho_Comunic,matConstr,integer
Trecho_Comunic,tipoTrechoComunic,integer
