classe,atributo,code,value
Bacia_Hidrografica,geometriaAproximada,1,Sim
Bacia_Hidrografica,geometriaAproximada,2,Não
Massa_Dagua,geometriaAproximada,1,Sim
Massa_Dagua,geometriaAproximada,2,Não
Massa_Dagua,tipoMassaDagua,0,Desconhecido
Massa_Dagua,tipoMassaDagua,3,Oceano
Massa_Dagua,tipoMassaDagua,4,Baía
Massa_Dagua,tipoMassaDagua,5,Enseada
Massa_Dagua,tipoMassaDagua,6,Meandro abandonado
Massa_Dagua,tipoMassaDagua,7,Lago
Massa_Dagua,tipoMassaDagua,8,Lagoa
Massa_Dagua,tipoMassaDagua,10,Represa/Açude
Massa_Dagua,tipoMassaDagua,99,Outros
Massa_Dagua,regime,1,Permanente
Massa_Dagua,regime,2,Permanente com grande variação
Massa_Dagua,regime,3,Temporário
Massa_Dagua,regime,4,Temporário com leito permanente
Massa_Dagua,regime,5,Seco
Massa_Dagua,salinidade,0,Desconhecida
Massa_Dagua,salinidade,1,Doce
Massa_Dagua,salinidade,2,Salgada
Trecho_Massa_Dagua,geometriaAproximada,1,Sim
Trecho_Massa_Dagua,geometriaAproximada,2,Não
Trecho_Massa_Dagua,tipoMassaDagua,1,Rio
Trecho_Massa_Dagua,tipoMassaDagua,2,Canal
Trecho_Massa_Dagua,tipoMassaDagua,9,Laguna
Trecho_Massa_Dagua,tipoMassaDagua,10,Represa/Açude
Trecho_Massa_Dagua,tipoMassaDagua,99,Outros
Trecho_Massa_Dagua,regime,1,Permanente
Trecho_Massa_Dagua,regime,2,Permanente com grande variação
Trecho_Massa_Dagua,regime,3,Temporário
Trecho_Massa_Dagua,regime,4,Temporário com leito permanente
Trecho_Massa_Dagua,regime,5,Seco
Trecho_Massa_Dagua,salinidade,0,Desconhecida
Trecho_Massa_Dagua,salinidade,1,Doce
Trecho_Massa_Dagua,salinidade,2,Salgada
Limite_Massa_Dagua,geometriaAproximada,1,Sim
Limite_Massa_Dagua,geometriaAproximada,2,Não
Limite_Massa_Dagua,tipoLimMassa,1,Costa visível da carta
Limite_Massa_Dagua,tipoLimMassa,2,Margem de massa d`água
Limite_Massa_Dagua,tipoLimMassa,3,Margem esquerda de trechos de massa d`água
Limite_Massa_Dagua,tipoLimMassa,4,Margem direita de trechos de massa d`água
Limite_Massa_Dagua,tipoLimMassa,5,Limite interno entre massas e/ou trechos
Limite_Massa_Dagua,tipoLimMassa,6,Limite com elemento artificial
Limite_Massa_Dagua,tipoLimMassa,7,Limite interno com foz marítima
Limite_Massa_Dagua,materialPredominante,0,Desconhecido
Limite_Massa_Dagua,materialPredominante,4,Rocha
Limite_Massa_Dagua,materialPredominante,12,Areia
Limite_Massa_Dagua,materialPredominante,13,Areia fina
Limite_Massa_Dagua,materialPredominante,14,Lama
Limite_Massa_Dagua,materialPredominante,15,Argila
Limite_Massa_Dagua,materialPredominante,16,Lodo
Limite_Massa_Dagua,materialPredominante,18,Cascalho
Limite_Massa_Dagua,materialPredominante,19,Seixo
Limite_Massa_Dagua,materialPredominante,20,Coral
Limite_Massa_Dagua,materialPredominante,21,Concha
Limite_Massa_Dagua,materialPredominante,50,Pedra
Limite_Massa_Dagua,materialPredominante,97,Não aplicável
Limite_Massa_Dagua,materialPredominante,98,Misto
Pico,geometriaAproximada,1,Sim
Pico,geometriaAproximada,2,Não
Pico,tipoElemNat,99,Outros
Terra_Publica,geometriaAproximada,1,Sim
Terra_Publica,geometriaAproximada,2,Não
Trecho_Drenagem,geometriaAproximada,1,Sim
Trecho_Drenagem,geometriaAproximada,2,Não
Trecho_Drenagem,coincideComDentroDe,1,Rio
Trecho_Drenagem,coincideComDentroDe,2,Canal
Trecho_Drenagem,coincideComDentroDe,9,Laguna
Trecho_Drenagem,coincideComDentroDe,10,Represa/Açude
Trecho_Drenagem,coincideComDentroDe,11,Vala
Trecho_Drenagem,coincideComDentroDe,12,Queda d`água
Trecho_Drenagem,coincideComDentroDe,13,Corredeira
Trecho_Drenagem,coincideComDentroDe,14,Eclusa
Trecho_Drenagem,coincideComDentroDe,16,Foz marítima
Trecho_Drenagem,coincideComDentroDe,19,Barragem
Trecho_Drenagem,coincideComDentroDe,24,Linha de drenagem
Trecho_Drenagem,coincideComDentroDe,97,Não aplicável
Trecho_Drenagem,navegabilidade,0,Desconhecida
Trecho_Drenagem,navegabilidade,1,Navegável
Trecho_Drenagem,navegabilidade,2,Não navegável
Trecho_Drenagem,regime,1,Permanente
Trecho_Drenagem,regime,2,Permanente com grande variação
Trecho_Drenagem,regime,3,Temporário
Trecho_Drenagem,regime,4,Temporário com leito permanente
Trecho_Drenagem,regime,5,Seco
Trecho_Drenagem,eixoPrincipal,1,Sim
Trecho_Drenagem,eixoPrincipal,2,Não
Trecho_Drenagem,dentroDePoligono,1,Sim
Trecho_Drenagem,dentroDePoligono,2,Não
Trecho_Drenagem,compartilhado,1,Sim
Trecho_Drenagem,compartilhado,2,Não
Ponto_Drenagem,geometriaAproximada,1,Sim
Ponto_Drenagem,geometriaAproximada,2,Não
Ponto_Drenagem,relacionado,1,Eclusa
Ponto_Drenagem,relacionado,2,Barragem
Ponto_Drenagem,relacionado,3,Comporta
Ponto_Drenagem,relacionado,4,Queda d'água
Ponto_Drenagem,relacionado,5,Corredeira
Ponto_Drenagem,relacionado,6,Foz marítima
Ponto_Drenagem,relacionado,7,Sumidouro
