classe_dsgtools,atributo_dsgtools,classe_gothic,atributo_gothic
adm_area_pub_civil,geometriaaproximada,Area_Pub_Civil,geometriaAproximada
adm_area_pub_militar,geometriaaproximada,Area_Pub_Militar,geometriaAproximada
adm_descontinuidade_geometrica,motivodescontinuidade,Descontinuidade_Geom_ADM,motivoDescontinuidade
adm_edif_pub_civil,geometriaaproximada,Edif_Pub_Civil,geometriaAproximada
adm_edif_pub_civil,matconstr,Edif_Pub_Civil,matConstr
adm_edif_pub_civil,nomeabrev,Edif_Pub_Civil,nomeAbrev
adm_edif_pub_civil,situacaofisica,Edif_Pub_Civil,situacaoFisica
adm_edif_pub_civil,tipousoedif,Edif_Pub_Civil,tipoUsoEdif
adm_edif_pub_militar,geometriaaproximada,Edif_Pub_Militar,geometriaAproximada
adm_edif_pub_militar,matconstr,Edif_Pub_Militar,matConstr
adm_edif_pub_militar,nomeabrev,Edif_Pub_Militar,nomeAbrev
adm_edif_pub_militar,situacaofisica,Edif_Pub_Militar,situacaoFisica
adm_edif_pub_militar,tipousoedif,Edif_Pub_Militar,tipoUsoEdif
adm_posto_fiscal,geometriaaproximada,Posto_Fiscal,geometriaAproximada
adm_posto_fiscal,nomeabrev,Posto_Fiscal,nomeAbrev
adm_posto_fiscal,situacaofisica,Posto_Fiscal,situacaoFisica
adm_posto_pol_rod,geometriaaproximada,Posto_Pol_Rod,geometriaAproximada
adm_posto_pol_rod,nomeabrev,Posto_Pol_Rod,nomeAbrev
adm_posto_pol_rod,situacaofisica,Posto_Pol_Rod,situacaoFisica
asb_area_abast_agua,geometriaaproximada,Area_Abast_Agua,geometriaAproximada
asb_area_saneamento,geometriaaproximada,Area_Saneamento,geometriaAproximada
asb_cemiterio,denominacaoassociada,Cemiterio,denominacaoAssociada
asb_cemiterio,geometriaaproximada,Cemiterio,geometriaAproximada
asb_cemiterio,nomeabrev,Cemiterio,nomeAbrev
asb_cemiterio,tipocemiterio,Cemiterio,tipoCemiterio
asb_dep_abast_agua,geometriaaproximada,Dep_Abast_Agua,geometriaAproximada
asb_dep_abast_agua,matconstr,Dep_Abast_Agua,matConstr
asb_dep_abast_agua,nomeabrev,Dep_Abast_Agua,nomeAbrev
asb_dep_abast_agua,situacaoagua,Dep_Abast_Agua,situacaoAgua
asb_dep_abast_agua,situacaofisica,Dep_Abast_Agua,situacaoFisica
asb_dep_abast_agua,tipodepabast,Dep_Abast_Agua,tipoDepAbast
asb_dep_saneamento,geometriaaproximada,Dep_Saneamento,geometriaAproximada
asb_dep_saneamento,matconstr,Dep_Saneamento,matConstr
asb_dep_saneamento,nomeabrev,Dep_Saneamento,nomeAbrev
asb_dep_saneamento,situacaofisica,Dep_Saneamento,situacaoFisica
asb_dep_saneamento,tipodepsaneam,Dep_Saneamento,tipoDepSaneam
asb_dep_saneamento,tiporesiduo,Dep_Saneamento,tipoResiduo
