classe_dsgtools,classe_gothic
adm_area_pub_civil,Area_Pub_Civil
adm_area_pub_militar,Area_Pub_Militar
adm_edif_pub_civil,Edif_Pub_Civil
adm_edif_pub_militar,Edif_Pub_Militar
adm_posto_fiscal,Posto_Fiscal
adm_posto_pol_rod,Posto_Pol_Rod
asb_area_abast_agua,Area_Abast_Agua
asb_area_saneamento,Area_Saneamento
asb_cemiterio,Cemiterio
asb_dep_abast_agua,Dep_Abast_Agua
asb_dep_saneamento,Dep_Saneamento
asb_edif_abast_agua,Edif_Abast_Agua
asb_edif_saneamento,Edif_Saneamento
eco_area_agrop_ext_veg_pesca,Area_Agrop_Ext_Veg_Pesca
eco_area_comerc_serv,Area_Comerc_Serv
eco_area_ext_mineral,Area_Ext_Mineral
eco_area_industrial,Area_Industrial
eco_deposito_geral,Deposito_Geral
eco_edif_agrop_ext_veg_pesca,Edif_Agrop_Ext_Veg_Pesca
eco_edif_comerc_serv,Edif_Comerc_Serv
eco_edif_ext_mineral,Edif_Ext_Mineral
eco_edif_industrial,Edif_Industrial
eco_equip_agropec,Equip_Agropec
eco_ext_mineral,Ext_Mineral
eco_plataforma,Plataforma
edu_area_ensino,Area_Ensino
edu_area_lazer,Area_Lazer
edu_area_religiosa,Area_Religiosa
edu_area_ruinas,Area_Ruinas
edu_arquibancada,Arquibancada
edu_campo_quadra,Campo_Quadra
edu_coreto_tribuna,Coreto_Tribuna
edu_edif_const_lazer,Edif_Const_Lazer
edu_edif_const_turistica,Edif_Const_Turistica
edu_edif_ensino,Edif_Ensino
edu_edif_religiosa,Edif_Religiosa
edu_piscina,Piscina
edu_pista_competicao,Pista_Competicao
edu_ruina,Ruina
enc_antena_comunic,Antena_Comunic
enc_area_comunicacao,Area_Comunicacao
enc_area_energia_eletrica,Area_Energia_Eletrica
enc_edif_comunic,Edif_Comunic
enc_edif_energia,Edif_Energia
enc_est_gerad_energia_eletr,Est_Gerad_Energia_Eletr
enc_hidreletrica,Hidreletrica
enc_ponto_trecho_energia,Ponto_Trecho_Energia
enc_termeletrica,Termeletrica
enc_torre_comunic,Torre_Comunic
enc_torre_energia,Torre_Energia
enc_trecho_comunic,Trecho_Comunic
enc_trecho_energia,Trecho_Energia
enc_zona_linhas_energia_com,Zona_Linhas_Energia_Com
hid_area_umida,Area_Umida
hid_bacia_hidrografica,Bacia_Hidrografica
hid_banco_areia,Banco_Areia
hid_barragem,Barragem
hid_comporta,Comporta
hid_confluencia,Confluencia
hid_corredeira,Corredeira
hid_fonte_dagua,Fonte_Dagua
hid_foz_maritima,Foz_Maritima
hid_ilha,Ilha
hid_limite_massa_dagua,Limite_Massa_Dagua
hid_massa_dagua,Massa_Dagua
hid_natureza_fundo,Natureza_Fundo
hid_ponto_drenagem,Ponto_Drenagem
hid_ponto_inicio_drenagem,Ponto_Inicio_Drenagem
hid_quebramar_molhe,Quebramar_Molhe
hid_queda_dagua,Queda_Dagua
hid_recife,Recife
hid_reservatorio_hidrico,Reservatorio_Hidrico
hid_rocha_em_agua,Rocha_Em_Agua
hid_sumidouro_vertedouro,Sumidouro_Vertedouro
hid_terreno_suj_inundacao,Terreno_Suj_Inundacao
hid_trecho_drenagem,Trecho_Drenagem
hid_trecho_massa_dagua,Trecho_Massa_Dagua
lim_area_de_litigio,Area_De_Litigio
lim_area_desenv_controle,Area_Desenv_Controle
lim_area_particular,Area_Particular
lim_area_uso_comunitario,Area_Uso_Comunitario
lim_bairro,Bairro
lim_delimitacao_fisica,Delimitacao_Fisica
lim_distrito,Distrito
lim_limite_area_especial,Limite_Area_Especial
lim_limite_intra_munic_adm,Limite_Intra_Munic_Adm
lim_limite_operacional,Limite_Operacional
lim_limite_particular,Limite_Particular
lim_limite_politico_adm,Limite_Politico_Adm
lim_linha_de_limite,Linha_De_Limite
lim_marco_de_limite,Marco_De_Limite
lim_municipio,Municipio
lim_outras_unid_protegidas,Outras_Unid_Protegidas
lim_outros_limites_oficiais,Outros_Limites_Oficiais
lim_pais,Pais
lim_regiao_administrativa,Regiao_Administrativa
lim_sub_distrito,Sub_Distrito
lim_terra_indigena,Terra_Indigena
lim_terra_publica,Terra_Publica
lim_unidade_conserv_nao_snuc,Unidade_Conserv_Nao_SNUC
lim_unidade_federacao,Unidade_Federacao
lim_unidade_uso_sustentavel,Unidade_Uso_Sustentavel
loc_area_edificada,Area_Edificada
loc_area_habitacional,Area_Habitacional
loc_cidade,Cidade
loc_edif_habitacional,Edif_Habitacional
loc_edificacao,Edificacao
loc_hab_indigena,Hab_Indigena
loc_nome_local,Nome_Local
loc_vila,Vila
pto_pto_controle,Pto_Controle
pto_pto_est_med_fenomenos,Pto_Est_Med_Fenomenos
pto_pto_ref_geod_topo,Pto_Ref_Geod_Topo
rel_alter_fisiog_antropica,Alter_Fisiog_Antropica
rel_curva_batimetrica,Curva_Batimetrica
rel_curva_nivel,Curva_Nivel
rel_dolina,Dolina
rel_duna,Duna
rel_elemento_fisiog_natural,Elemento_Fisiog_Natural
rel_gruta_caverna,Gruta_Caverna
rel_pico,Pico
rel_ponto_cotado_altimetrico,Ponto_Cotado_Altimetrico
rel_ponto_cotado_batimetrico,Ponto_Cotado_Batimetrico
rel_rocha,Rocha
rel_terreno_exposto,Terreno_Exposto
sau_area_saude,Area_Saude
sau_area_servico_social,Area_Servico_Social
sau_edif_saude,Edif_Saude
sau_edif_servico_social,Edif_Servico_Social
tra_area_duto,Area_Duto
tra_area_estrut_transporte,Area_Estrut_Transporte
tra_arruamento,Arruamento
tra_atracadouro,Atracadouro
tra_caminho_aereo,Caminho_Aereo
tra_ciclovia,Ciclovia
tra_condutor_hidrico,Condutor_Hidrico
tra_cremalheira,Cremalheira
tra_eclusa,Eclusa
tra_edif_constr_portuaria,Edif_Constr_Portuaria
tra_edif_metro_ferroviaria,Edif_Metro_Ferroviaria
tra_edif_rodoviaria,Edif_Rodoviaria
tra_entroncamento,Entroncamento
tra_faixa_seguranca,Faixa_Seguranca
tra_fundeadouro,Fundeadouro
tra_funicular,Funicular
tra_galeria_bueiro,Galeria_Bueiro
tra_girador_ferroviario,Girador_Ferroviario
tra_identific_trecho_rod,Identific_Trecho_Rod
tra_local_critico,Local_Critico
tra_obstaculo_navegacao,Obstaculo_Navegacao
tra_passag_elevada_viaduto,Passag_Elevada_Viaduto
tra_passagem_nivel,Passagem_Nivel
tra_patio,Patio
tra_pista_ponto_pouso,Pista_Ponto_Pouso
tra_ponte,Ponte
tra_ponto_duto,Ponto_Duto
tra_ponto_hidroviario,Ponto_Hidroviario
tra_posto_combustivel,Posto_Combustivel
tra_sinalizacao,Sinalizacao
tra_travessia,Travessia
tra_travessia_pedestre,Travessia_Pedestre
tra_trecho_duto,Trecho_Duto
tra_trecho_ferroviario,Trecho_Ferroviario
tra_trecho_hidroviario,Trecho_Hidroviario
tra_trecho_rodoviario,Trecho_Rodoviario
tra_trilha_picada,Trilha_Picada
tra_tunel,Tunel
veg_brejo_pantano,Brejo_Pantano
veg_caatinga,Caatinga
veg_campinarana,Campinarana
veg_campo,Campo
veg_cerrado_cerradao,Cerrado_Cerradao
veg_estepe,Estepe
veg_floresta,Floresta
veg_macega_chavascal,Macega_Chavascal
veg_mangue,Mangue
veg_veg_area_contato,Veg_Area_Contato
veg_veg_cultivada,Veg_Cultivada
veg_veg_restinga,Veg_Restinga
adm_descontinuidade_geometrica,Descontinuidade_Geom_ADM
asb_descontinuidade_geometrica,Descontinuidade_Geom_ASB
aux_moldura,limitegeografico
aux_objeto_desconhecido,Objeto_Desconhecido
eco_descontinuidade_geometrica,Descontinuidade_Geom_ECO
edu_descontinuidade_geometrica,Descontinuidade_Geom_EDU
enc_descontinuidade_geometrica,Descontinuidade_Geom_ENC
enc_grupo_transformadores,Grupo_Transform_Energ
hid_descontinuidade_geometrica,Descontinuidade_Geom_HID
lim_descontinuidade_geometrica,Descontinuidade_Geom_LIM
lim_unidade_protecao_integral,Unid_Protecao_Integral
loc_descontinuidade_geometrica,Descontinuidade_Geom_LOC
pto_area_est_med_fenom,Area_Est_Med_Fenomenos
pto_descontinuidade_geometrica,Descontinuidade_Geom_PTO
pto_edif_constr_est_med_fen,Edif_Constr_Est_Med
rel_descontinuidade_geometrica,Descontinuidade_Geom_REL
sau_descontinuidade_geometrica,Descontinuidade_Geom_SAU
tra_descontinuidade_geometrica,Descontinuidade_Geom_TRA
tra_edif_constr_aeroportuaria,Edif_Const_Aeroportuaria
veg_descontinuidade_geometrica,Descontinuidade_Geom_VEG
