gothic_classe_original,gothic_atributo,gothic_code,gothic_value,dsgtools_classe_original,dsgtools_atributo,dsgtools_code,dsgtools_value,direcao
Barragem,situacaoFisica,4,Planejada,hid_barragem,situacaofisica,0,Desconhecida,SÓ IDA
Comporta,situacaoFisica,4,Planejada,hid_comporta,situacaofisica,0,Desconhecida,SÓ IDA
Confluencia,relacionado,19,Ramificação,hid_confluencia,relacionado,15,Confluência,SÓ IDA
Confluencia,relacionado,20,Cruzamento de Vala,hid_confluencia,relacionado,15,Confluência,SÓ IDA
Dolina,tipoElemNat,0,Desconhecido,rel_dolina,tipoelemnat,99,Outros,SÓ IDA
Eclusa,situacaoFisica,4,Planejada,tra_eclusa,situacaofisica,0,Desconhecida,SÓ IDA
Edif_Const_Aeroportuaria,administracao,7,Concessionada,tra_edif_constr_aeroportuaria,administracao,0,Desconhecida,SÓ IDA
Edif_Const_Lazer,tipoEdifLazer,9,Chaminé,edu_edif_const_lazer,tipoediflazer,99,Outros,SÓ IDA
Edif_Ensino,tipoClasseCnae,99,Outros,edu_edif_ensino,tipoclassecnae,0,Desconhecida,SÓ IDA
Edif_Saude,tipoClasseCnae,99,Outros,sau_edif_saude,tipoclassecnae,0,Desconhecida,SÓ IDA
Massa_Dagua,tipoMassaDagua,8,Lagoa,hid_massa_dagua,tipomassadagua,7,Lago/Lagoa,SÓ IDA
Massa_Dagua,tipoMassaDagua,99,Outros,hid_massa_dagua,tipomassadagua,0,Desconhecida,SÓ IDA
Natureza_Fundo,materialPredominante,22,Ervas marinhas,hid_natureza_fundo,materialpredominante,0,Desconhecida,SÓ IDA
Ponto_Drenagem,relacionado,80,Meandro Abandonado (Jusante),hid_ponto_drenagem,relacionado,8,Meandro,SÓ IDA
Ponto_Drenagem,relacionado,90,Lago (Jusante),hid_ponto_drenagem,relacionado,9,Lago,SÓ IDA
Ponto_Drenagem,relacionado,10,Lagoa,hid_ponto_drenagem,relacionado,9,Lagoa,SÓ IDA
Ponto_Drenagem,relacionado,100,Lagoa (Jusante),hid_ponto_drenagem,relacionado,9,Lagoa,SÓ IDA
Ponto_Drenagem,relacionado,110,Laguna (Jusante),hid_ponto_drenagem,relacionado,11,Laguna,SÓ IDA
Ponto_Drenagem,relacionado,120,Represa/Açude (Jusante),hid_ponto_drenagem,relacionado,12,Represa açude,SÓ IDA
Ponto_Inicio_Drenagem,nascente,0,Desconhecido,hid_ponto_inicio_drenagem,nascente,2,Não,SÓ IDA
Ponto_Trecho_Energia,tipoPtoEnergia,7,Mudança de atributo,enc_ponto_trecho_energia,tipoptoenergia,4,Ponto de ramificação,SÓ IDA
Ponto_Trecho_Energia,tipoPtoEnergia,9,Início ou fim de trecho,enc_ponto_trecho_energia,tipoptoenergia,4,Ponto de ramificação,SÓ IDA
Quebramar_Molhe,situacaoFisica,4,Planejada,hid_quebramar_molhe,situacaofisica,0,Desconhecida,SÓ IDA
Termeletrica,tipoEstGerad,3,Nuclear,enc_termeletrica,tipoestgerad,99,Outros,SÓ IDA
Termeletrica,combRenovavel,0,Desconhecido,enc_termeletrica,combrenovavel,2,Não,SÓ IDA
Trecho_Drenagem,coincideComDentroDe,24,Linha de drenagem,hid_trecho_drenagem,coincidecomdentrode,97,Não Aplicável,SÓ IDA
Tunel,posicaoPista,16,Coincidente,tra_tunel,posicaopista,97,Não Aplicável,SÓ IDA
Veg_Cultivada,classificacaoPorte,1,Arbórea,veg_veg_cultivada,classificacaoporte,0,Desconhecida,SÓ IDA
Veg_Cultivada,classificacaoPorte,4,Rasteira,veg_veg_cultivada,classificacaoporte,0,Desconhecida,SÓ IDA
Veg_Cultivada,cultivoPredominante,34,Mamão,veg_veg_cultivada,cultivopredominante,96,Não identificado,SÓ IDA
Veg_Cultivada,cultivoPredominante,35,Manga,veg_veg_cultivada,cultivopredominante,96,Não identificado,SÓ IDA
