classe,atributo,code,value,dominio
adm_area_pub_civil,geometriaaproximada,1,Sim,geometriaaproximada
adm_area_pub_civil,geometriaaproximada,2,Não,geometriaaproximada
adm_area_pub_militar,geometriaaproximada,1,Sim,geometriaaproximada
adm_area_pub_militar,geometriaaproximada,2,Não,geometriaaproximada
adm_descontinuidade_geometrica,motivodescontinuidade,1,Descontinuidade Temporal,motivodescontinuidade
adm_descontinuidade_geometrica,motivodescontinuidade,2,Descontinuidade devido a transformação,motivodescontinuidade
adm_descontinuidade_geometrica,motivodescontinuidade,3,Descontinuidade por escala de insumo,motivodescontinuidade
adm_descontinuidade_geometrica,motivodescontinuidade,4,Descontinuidade por falta de acurácia,motivodescontinuidade
adm_descontinuidade_geometrica,motivodescontinuidade,5,Descontinuidade por diferente interpretação das classes,motivodescontinuidade
adm_descontinuidade_geometrica,motivodescontinuidade,6,Descontinuidade por omissão,motivodescontinuidade
adm_descontinuidade_geometrica,motivodescontinuidade,7,Descontinuidade por excesso,motivodescontinuidade
adm_edif_pub_civil,geometriaaproximada,1,Sim,geometriaaproximada
adm_edif_pub_civil,geometriaaproximada,2,Não,geometriaaproximada
adm_edif_pub_civil,operacional,0,Desconhecido,operacional
adm_edif_pub_civil,operacional,1,Sim,operacional
adm_edif_pub_civil,operacional,2,Não,operacional
adm_edif_pub_civil,tipoedifcivil,0,Desconhecido,tipoedifcivil
adm_edif_pub_civil,tipoedifcivil,1,Policial,tipoedifcivil
adm_edif_pub_civil,tipoedifcivil,2,Prisional,tipoedifcivil
adm_edif_pub_civil,tipoedifcivil,3,Cartorial,tipoedifcivil
adm_edif_pub_civil,tipoedifcivil,4,Gestão,tipoedifcivil
adm_edif_pub_civil,tipoedifcivil,5,Eleitoral,tipoedifcivil
adm_edif_pub_civil,tipoedifcivil,6,Produção e/ou pesquisa,tipoedifcivil
adm_edif_pub_civil,tipoedifcivil,7,Seguridade Social,tipoedifcivil
adm_edif_pub_civil,tipoedifcivil,8,Câmara Municipal,tipoedifcivil
adm_edif_pub_civil,tipoedifcivil,9,Assembléia Legislativa,tipoedifcivil
